Country;year;ppm
Afghanistan;1970;1062
Albania;1970;4455
Algeria;1970;19383
American Samoa;1970;6
Angola;1970;8707
Argentina;1970;87827
Armenia;1970;4247
Aruba;1970;30
Australia;1970;156597
Austria;1970;52855
Azerbaijan;1970;17863
Bahamas;1970;3430
Bahrain;1970;3004
Bangladesh;1970;3215
Barbados;1970;547
Belarus;1970;67882
Belgium;1970;135039
Belize;1970;131
Benin;1970;317
Bhutan;1970;45
Bolivia;1970;2780
Botswana;1970;473
Brazil;1970;104321
Bulgaria;1970;67997
Burkina Faso;1970;245
Burundi;1970;97
Cambodia;1970;45
Cameroon;1970;1293
Canada;1970;353506
Cape Verde;1970;129
Cayman Islands;1970;60
Central African Republic;1970;136
Chad;1970;108
Chile;1970;26327
China;1970;947566
Colombia;1970;27576
Comoros;1970;22
Congo;1970;2085
Costa Rica;1970;1437
Croatia;1970;19075
Cuba;1970;20068
Cyprus;1970;2184
Czech Republic;1970;184347
Denmark;1970;62130
Djibouti;1970;825
Dominica;1970;23
Dominican Republic;1970;3816
Ecuador;1970;4530
Egypt;1970;28191
El Salvador;1970;1546
Equatorial Guinea;1970;32
Eritrea;1970;186
Estonia;1970;47062
Ethiopia;1970;986
Fiji;1970;548
Finland;1970;42026
France;1970;461434
French Guiana;1970;258
French Polynesia;1970;101
Gabon;1970;567
Gambia;1970;77
Georgia;1970;42490
Germany;1970;1074561
Ghana;1970;2341
Greece;1970;25960
Greenland;1970;1
Grenada;1970;28
Guadeloupe;1970;334
Guam;1970;5
Guatemala;1970;2481
Guinea;1970;531
Guyana;1970;1039
Haiti;1970;531
Honduras;1970;1217
Hong Kong;1970;9520
Hungary;1970;65639
Iceland;1970;1949
India;1970;230929
Indonesia;1970;30697
Iran;1970;80958
Iraq;1970;28621
Ireland;1970;20873
Israel;1970;14851
Italy;1970;313984
Jamaica;1970;5909
Japan;1970;797747
Jordan;1970;1530
Kazakhstan;1970;90671
Kenya;1970;4313
Kiribati;1970;7
Kuwait;1970;45661
Kyrgyzstan;1970;8605
Latvia;1970;34516
Lebanon;1970;5483
Lesotho;1970;77
Liberia;1970;1042
Lithuania;1970;86218
Luxembourg;1970;18377
Madagascar;1970;647
Malawi;1970;282
Malaysia;1970;13987
Mali;1970;224
Malta;1970;691
Martinique;1970;495
Mauritania;1970;349
Mauritius;1970;422
Mexico;1970;116108
Mongolia;1970;2094
Montserrat;1970;11
Morocco;1970;6795
Mozambique;1970;3193
Namibia;1970;315
Nepal;1970;253
Netherlands;1970;134812
New Caledonia;1970;886
New Zealand;1970;15075
Nicaragua;1970;1607
Niger;1970;294
Nigeria;1970;21784
Norway;1970;36852
Oman;1970;6562
Pakistan;1970;18431
Panama;1970;2603
Papua New Guinea;1970;849
Paraguay;1970;660
Peru;1970;18092
Philippines;1970;25078
Poland;1970;332242
Portugal;1970;15692
Puerto Rico;1970;779
Qatar;1970;8310
Reunion;1970;313
Romania;1970;124594
Russia;1970;1456446
Rwanda;1970;82
Samoa;1970;35
Saudi Arabia;1970;45621
Senegal;1970;1348
Seychelles;1970;124
Sierra Leone;1970;392
Singapore;1970;6616
Slovakia;1970;45192
Slovenia;1970;7912
Solomon Islands;1970;41
Somalia;1970;468
South Africa;1970;200502
Spain;1970;126287
Sri Lanka;1970;3119
Sudan;1970;3402
Suriname;1970;1787
Swaziland;1970;270
Sweden;1970;94996
Switzerland;1970;40921
Taiwan;1970;35711
Tajikistan;1970;2674
Tanzania;1970;1543
Thailand;1970;19094
Togo;1970;347
Tonga;1970;17
Tunisia;1970;4273
Turkey;1970;44747
Turkmenistan;1970;17283
Uganda;1970;441
Ukraine;1970;434093
United Arab Emirates;1970;19906
United Kingdom;1970;667684
United States;1970;4428105
Uruguay;1970;5416
Uzbekistan;1970;59473
Venezuela;1970;60183
Vietnam;1970;17759
Western Sahara;1970;87
Yemen;1970;1491
Zambia;1970;3658
Zimbabwe;1970;9273
Afghanistan;1971;1176
Albania;1971;4446
Algeria;1971;21831
American Samoa;1971;6
Angola;1971;8653
Argentina;1971;88201
Armenia;1971;4271
Aruba;1971;31
Australia;1971;158357
Austria;1971;55387
Azerbaijan;1971;17899
Bahamas;1971;3516
Bahrain;1971;3024
Bangladesh;1971;3182
Barbados;1971;546
Belarus;1971;68018
Belgium;1971;129325
Belize;1971;130
Benin;1971;368
Bhutan;1971;47
Bolivia;1971;3297
Botswana;1971;473
Brazil;1971;104107
Bulgaria;1971;67918
Burkina Faso;1971;246
Burundi;1971;97
Cambodia;1971;48
Cameroon;1971;1351
Canada;1971;361793
Cape Verde;1971;129
Cayman Islands;1971;60
Central African Republic;1971;138
Chad;1971;108
Chile;1971;27725
China;1971;951150
Colombia;1971;27802
Comoros;1971;22
Congo;1971;2117
Costa Rica;1971;1437
Croatia;1971;18646
Cuba;1971;20132
Cyprus;1971;2200
Czech Republic;1971;184483
Denmark;1971;58176
Djibouti;1971;825
Dominica;1971;23
Dominican Republic;1971;3905
Ecuador;1971;4258
Egypt;1971;27946
El Salvador;1971;1610
Equatorial Guinea;1971;32
Eritrea;1971;185
Estonia;1971;47093
Ethiopia;1971;995
Fiji;1971;557
Finland;1971;41473
France;1971;475464
French Guiana;1971;258
French Polynesia;1971;101
Gabon;1971;907
Gambia;1971;77
Georgia;1971;42221
Germany;1971;1071363
Ghana;1971;2382
Greece;1971;30063
Greenland;1971;1
Grenada;1971;28
Guadeloupe;1971;339
Guam;1971;5
Guatemala;1971;2443
Guinea;1971;535
Guyana;1971;1040
Haiti;1971;536
Honduras;1971;1218
Hong Kong;1971;9561
Hungary;1971;67782
Iceland;1971;2045
India;1971;231972
Indonesia;1971;31049
Iran;1971;86585
Iraq;1971;32143
Ireland;1971;23396
Israel;1971;14875
Italy;1971;326541
Jamaica;1971;5898
Japan;1971;825297
Jordan;1971;1551
Kazakhstan;1971;90443
Kenya;1971;4314
Kiribati;1971;7
Kuwait;1971;47624
Kyrgyzstan;1971;8638
Latvia;1971;34522
Lebanon;1971;5574
Lesotho;1971;78
Liberia;1971;1037
Lithuania;1971;86287
Luxembourg;1971;17138
Madagascar;1971;648
Malawi;1971;280
Malaysia;1971;14368
Mali;1971;223
Malta;1971;691
Martinique;1971;498
Mauritania;1971;351
Mauritius;1971;423
Mexico;1971;116504
Mongolia;1971;2094
Montserrat;1971;11
