Country;year;temp
Afghanistan;1838;NA
Afghanistan;1839;NA
Afghanistan;1840;NA
Afghanistan;1841;NA
Afghanistan;1842;NA
Afghanistan;1843;13.76
Afghanistan;1844;13.15
Afghanistan;1845;13.31
Afghanistan;1846;14.03
Afghanistan;1847;13.48
Afghanistan;1848;13.14
Afghanistan;1849;13.44
Afghanistan;1850;13.33
Afghanistan;1851;13.61
Afghanistan;1852;13.54
Afghanistan;1853;13.46
Afghanistan;1854;13.61
Afghanistan;1855;13.92
Afghanistan;1856;13.46
Afghanistan;1857;13.07
Afghanistan;1858;13.66
Afghanistan;1859;13.91
Afghanistan;1860;13.4
Afghanistan;1861;13.27
Afghanistan;1862;12.94
Afghanistan;1863;13.64
Afghanistan;1864;13.18
Afghanistan;1865;13.49
Afghanistan;1866;13.42
Afghanistan;1867;13.98
Afghanistan;1868;13.69
Afghanistan;1869;13.78
Afghanistan;1870;13.8
Afghanistan;1871;13.63
Afghanistan;1872;13.88
Afghanistan;1873;14
Afghanistan;1874;13.89
Afghanistan;1875;14.17
Afghanistan;1876;13.56
Afghanistan;1877;13.72
Afghanistan;1878;13.88
Afghanistan;1879;13.93
Afghanistan;1880;14.2
Afghanistan;1881;14.27
Afghanistan;1882;13.43
Afghanistan;1883;13.6
Afghanistan;1884;13.38
Afghanistan;1885;13.03
Afghanistan;1886;13.2
Afghanistan;1887;13.64
Afghanistan;1888;14.24
Afghanistan;1889;13.73
Afghanistan;1890;13.72
Afghanistan;1891;13.24
Afghanistan;1892;14.08
Afghanistan;1893;13.44
Afghanistan;1894;13.47
Afghanistan;1895;13.98
Afghanistan;1896;14.1
Afghanistan;1897;13.55
Afghanistan;1898;13.46
Afghanistan;1899;14.4
Afghanistan;1900;13.75
Afghanistan;1901;13.89
Afghanistan;1902;14.51
Afghanistan;1903;12.99
Afghanistan;1904;13.81
Afghanistan;1905;13.39
Afghanistan;1906;13.88
Afghanistan;1907;13.35
Afghanistan;1908;13.7
Afghanistan;1909;13.93
Afghanistan;1910;13.22
Afghanistan;1911;13.38
Afghanistan;1912;13.9
Afghanistan;1913;13.86
Afghanistan;1914;14.3
Afghanistan;1915;14.91
Afghanistan;1916;13.34
Afghanistan;1917;13.92
Afghanistan;1918;13.48
Afghanistan;1919;13.88
Afghanistan;1920;13.04
Afghanistan;1921;14.17
Afghanistan;1922;14.26
Afghanistan;1923;13.34
Afghanistan;1924;13.63
Afghanistan;1925;13.93
Afghanistan;1926;13.75
Afghanistan;1927;13.84
Afghanistan;1928;13.63
Afghanistan;1929;13.48
Afghanistan;1930;13.33
Afghanistan;1931;13.45
Afghanistan;1932;13.66
Afghanistan;1933;13.88
Afghanistan;1934;13.34
Afghanistan;1935;13.3
Afghanistan;1936;14.01
Afghanistan;1937;13.57
Afghanistan;1938;14.21
Afghanistan;1939;14.16
Afghanistan;1940;14.73
Afghanistan;1941;15.5
Afghanistan;1942;14.45
Afghanistan;1943;13.71
Afghanistan;1944;14.29
Afghanistan;1945;13.87
Afghanistan;1946;14.59
Afghanistan;1947;15.04
Afghanistan;1948;14.34
Afghanistan;1949;13.35
Afghanistan;1950;13.04
Afghanistan;1951;13.97
Afghanistan;1952;14.18
Afghanistan;1953;14.65
Afghanistan;1954;13.69
Afghanistan;1955;14.64
Afghanistan;1956;14.19
Afghanistan;1957;12.78
Afghanistan;1958;14.72
Afghanistan;1959;14.15
Afghanistan;1960;13.99
Afghanistan;1961;14.06
Afghanistan;1962;13.77
Afghanistan;1963;15.03
Afghanistan;1964;13.08
Afghanistan;1965;14.1
Afghanistan;1966;14.34
Afghanistan;1967;13.66
Afghanistan;1968;13.76
Afghanistan;1969;13.81
Afghanistan;1970;14.78
Afghanistan;1971;14.82
Afghanistan;1972;12.55
Afghanistan;1973;14.24
Afghanistan;1974;13.32
Afghanistan;1975;13.55
Afghanistan;1976;13.71
Afghanistan;1977;14.81
Afghanistan;1978;14.33
Afghanistan;1979;14.26
Afghanistan;1980;14.89
Afghanistan;1981;14.86
Afghanistan;1982;13.73
Afghanistan;1983;14.61
Afghanistan;1984;14.25
Afghanistan;1985;14.89
Afghanistan;1986;14.22
Afghanistan;1987;14.98
Afghanistan;1988;15.39
Afghanistan;1989;14.13
Afghanistan;1990;14.99
Afghanistan;1991;14.37
Afghanistan;1992;14.06
Afghanistan;1993;14.44
Afghanistan;1994;14.75
Afghanistan;1995;14.86
Afghanistan;1996;14.43
Afghanistan;1997;14.9
Afghanistan;1998;15.13
Afghanistan;1999;15.39
Afghanistan;2000;15.5
Afghanistan;2001;15.78
Afghanistan;2002;15.54
Afghanistan;2003;14.92
Afghanistan;2004;15.77
Afghanistan;2005;14.98
Afghanistan;2006;15.6
Afghanistan;2007;15.11
Afghanistan;2008;15.22
Afghanistan;2009;15.26
Afghanistan;2010;15.83
Afghanistan;2011;15.52
Afghanistan;2012;14.48
Afghanistan;2013;NA
Albania;1743;NA
Albania;1744;NA
Albania;1745;NA
Albania;1746;NA
Albania;1747;NA
Albania;1748;NA
Albania;1749;NA
Albania;1750;NA
Albania;1751;NA
Albania;1752;NA
Albania;1753;12.56
Albania;1754;12.55
Albania;1755;12.32
Albania;1756;13.03
Albania;1757;12.73
Albania;1758;11.44
Albania;1759;12.49
Albania;1760;12.15
Albania;1761;12.88
Albania;1762;12.7
Albania;1763;12.02
Albania;1764;12.86
Albania;1765;12.74
Albania;1766;12.6
Albania;1767;12.17
Albania;1768;11.34
Albania;1769;12.4
Albania;1770;12.38
Albania;1771;12.37
Albania;1772;13.71
Albania;1773;12.69
Albania;1774;12.9
Albania;1775;13.22
Albania;1776;12.21
Albania;1777;12.22
Albania;1778;13.15
Albania;1779;13.18
Albania;1780;12.92
Albania;1781;13
Albania;1782;12.19
Albania;1783;12.66
Albania;1784;12.34
Albania;1785;11.78
Albania;1786;12.14
Albania;1787;12.75
Albania;1788;12.82
Albania;1789;12.57
Albania;1790;12.8
Albania;1791;13.17
Albania;1792;12.56
Albania;1793;12.29
Albania;1794;12.98
